title,abstract,authors,url
A Joint Learning Approach based on Self-Distillation for Keyphrase Extraction from Scientific Documents ,"Keyphrase extraction is the task of extracting a small set of phrases that best describe a document. Existing benchmark datasets for the task typically have limited numbers of annotated documents, making it challenging to train increasingly complex neural networks. In contrast, digital libraries store millions of scientific articles online, covering a wide range of topics. While a significant portion of these articles contain keyphrases provided by their authors, most other articles lack such kind of annotations. Therefore, to effectively utilize these large amounts of unlabeled articles, we propose a simple and efficient joint learning approach based on the idea of self-distillation. Experimental results show that our approach consistently improves the performance of baseline models for keyphrase extraction. Furthermore, our best models outperform previous methods for the task, achieving new state-of-the-art results on two public benchmarks: Inspec and SemEval-2017.","Tuan Lai, Trung Bui, Doo Soon Kim and Quan Hung Tran",http://arxiv.org/abs/2010.11980v1
A Large-Scale Corpus of E-mail Conversations with Standard and Two-Level Dialogue Act Annotations ,"We present a large-scale corpus of e-mail conversations with domain-agnostic and two-level dialogue act (DA) annotations towards the goal of a better understanding of asynchronous conversations. We annotate over 6,000 messages and 35,000 sentences from more than 2,000 threads. For a domain-independent and application-independent DA annotations, we choose ISO standard 24617-2 as the annotation scheme. To assess the difficulty of DA recognition on our corpus, we evaluate several models, including a pre-trained contextual representation model, as our baselines. The experimental results show that BERT outperforms other neural network models, including previous state-of-the-art models, but falls short of a human performance. We also demonstrate that DA tags of two-level granularity enable a DA recognition model to learn efficiently by using multi-task learning. An evaluation of a model trained on our corpus against other domains of asynchronous conversation reveals the domain independence of our DA annotations.","Motoki Taniguchi, Yoshihiro Ueda, Tomoki Taniguchi and Tomoko Ohkuma",http://arxiv.org/abs/1912.00819v3
A Learning-Exploring Method to Generate Diverse Paraphrases with Multi-Objective Deep Reinforcement Learning ,"Paraphrase generation (PG) is of great importance to many downstream tasks in natural language processing. Diversity is an essential nature to PG for enhancing generalization capability and robustness of downstream applications. Recently, neural sequence-to-sequence (Seq2Seq) models have shown promising results in PG. However, traditional model training for PG focuses on optimizing model prediction against single reference and employs cross-entropy loss, which objective is unable to encourage model to generate diverse paraphrases. In this work, we present a novel approach with multi-objective learning to PG. We propose a learning-exploring method to generate sentences as learning objectives from the learned data distribution, and employ reinforcement learning to combine these new learning objectives for model training. We first design a sample-based algorithm to explore diverse sentences. Then we introduce several reward functions to evaluate the sampled sentences as learning signals in terms of expressive diversity and semantic fidelity, aiming to generate diverse and high-quality paraphrases. To effectively optimize model performance satisfying different evaluating aspects, we use a GradNorm-based algorithm that automatically balances these training objectives. Experiments and analyses on Quora and Twitter datasets demonstrate that our proposed method not only gains a significant increase in diversity but also improves generation quality over several state-of-the-art baselines.","Mingtong Liu, Erguang Yang, Deyi Xiong, YUJIE ZHANG, Yao Meng, Changjian Hu, Jinan Xu and Yufeng Chen",http://arxiv.org/abs/2007.02244v1
A Linguistic Perspective on Reference: Choosing a Feature Set for Generating Referring Expressions in Context ,"This paper reports on a structured evaluation of feature-based machine learning algorithms for
selecting the form of a referring expression in discourse context. Based on this evaluation and a
number of follow-up studies (e.g. using ablation), we propose a “consensus” feature set which
we compare with insights in the linguistic literature.",Fahime Same and Kees van Deemter,http://arxiv.org/abs/2006.09479v1
A Locally Linear Procedure for Word Translation ,Learning a mapping between word embeddings of two languages given a dictionary is an important problem with several applications. A common mapping approach is using an orthogonal matrix. The Orthogonal Procrustes Analysis (PA) algorithm can be applied to find the optimal orthogonal matrix. This solution restricts the expressiveness  of the translation model which  may result in sub-optimal translations. We propose  a natural extension of the PA algorithm that uses multiple orthogonal translation matrices to model the mapping  and derive an algorithm to learn these multiple matrices. We achieve better performance in a bilingual word translation task and a cross lingual word similarity task compared to the single matrix baseline. We also show how multiple matrices can model multiple senses of a word.,"Soham Dan, Hagai Taitelbaum and Jacob Goldberger",http://arxiv.org/abs/1806.04508v2
A Mixture-of-Experts Model for Learning Multi-Facet Entity Embeddings ,"Various methods have already been proposed for learning entity embeddings from text descriptions. Such embeddings are commonly used for inferring properties of entities, for recommendation and entity-oriented search, and for injecting background knowledge into neural architectures, among others. Entity embeddings essentially serve as a compact encoding of a similarity relation, but similarity is an inherently multi-faceted notion. By representing entities as single vectors, existing methods leave it to downstream applications to identify these different facets, and to select the most relevant ones. In this paper, we propose a model that instead learns several vectors for each entity, each of which intuitively captures a different aspect of the considered domain. We use a mixture-of-experts formulation to jointly learn these facet-specific embeddings. The individual entity embeddings are learned using a variant of the GloVe model, which has the advantage that we can easily identify which properties are modelled well in which of the learned embeddings. This is exploited by an associated gating network, which uses pre-trained word vectors to encourage the properties that are modelled by a given embedding to be semantically coherent, i.e. to encourage each of the individual embeddings to capture a meaningful facet.","Rana Alshaikh, Zied Bouraoui, Shelan Jeawak and Steven Schockaert",http://arxiv.org/abs/1908.10554v1
A Multitask Active Learning Framework for Natural LanguageUnderstanding ,"Natural language understanding (NLU) aims at identifying user intent and extracting semantic slots.   This requires sufficient annotating data to get considerable performance in real-world situations. Active learning has been well-studied to decrease the needed amount of the annotating data and successfully applied to NLU. 
However, no research has been done on investigating how the relation information between intents and slots can improve the efficiency of active learning algorithms. In this paper, we propose a multitask active learning framework for NLU. Our framework enables pool-based active learning algorithms to make use of the relation information between sub-tasks provided by a joint model, and we propose an efficient computation for the entropy of a joint model.  Simulated experiments show that our framework can use the same annotating budget to perform better than frameworks without considering the relevance between intents and slots. We also prove that the efficiency of these active learning algorithms in our framework is still effective when incorporating with the Bidirectional Encoder Representations from Transformers (BERT).","Hua Zhu, Sihan Luo, Wu Ye and Xidong Zhang",http://arxiv.org/abs/1805.07541v1
A Neural Local Coherence Analysis Model for Clarity Text Scoring ,"Local coherence relation between two phrases/sentences such as cause-effect and contrast gives a
strong influence of whether a text is well-structured or not. This paper follows the assumption and
presents a method for scoring text clarity by utilizing local coherence between adjacent sentences.
We hypothesize that the contextual features of coherence relations learned by utilizing different
data from the target training data are also possible to discriminate well-structured of the target
text and thus help to score the text clarity. We propose a text clarity scoring method that utilizes
local coherence analysis with an out-domain setting, i.e. the training data for the source and
target tasks are different from each other. The method with language model pre-training BERT
firstly trains the local coherence model as an auxiliary manner and then re-trains it together with
clarity text scoring model. The experimental results by using the PeerRead benchmark dataset
show the improvement compared with a single model, scoring text clarity model. Our source
codes are available online.","Panitan Muangkammuen, Sheng Xu, Fumiyo Fukumoto, Kanda Runapongsa Saikaew and Jiyi Li",http://arxiv.org/abs/1902.04793v1
A Neural Model for Aggregating Coreference Annotation in Crowdsourcing ,"Coreference resolution is the task of identifying all mentions in a text that refer to the same real-world entity. Collecting sufficient labelled data from expert annotators to train a high-performance coreference resolution system is time-consuming and expensive. Crowdsourcing makes it possible to obtain the required amounts of data rapidly and cost-effectively. However, crowd-sourced labels can be noisy. To ensure high-quality data, it is crucial to infer the correct labels by aggregating the noisy labels. In this paper, we split the aggregation into two subtasks, i.e,  mention classification and coreference chain inference. Firstly, we predict the general class of each mention using an autoencoder, which incorporates contextual information about each mention, while at the same time taking into account the mention’s annotation complexity and annotators’ reliability at different levels. Secondly, to determine the coreference chain of each mention, we use weighted voting which takes into account the learned reliability in the first subtask. Experimental results demonstrate the effectiveness of our method in predicting the correct labels. We also illustrate our model’s interpretability through a comprehensive analysis of experimental results.","Maolin Li, Hiroya Takamura and Sophia Ananiadou",http://arxiv.org/abs/2010.02588v1
A Quantitative Analysis on the Role of Training Data for Text Classification ,"Pre-trained language models provide the foundations for state-of-the-art performance across a wide range of natural language processing tasks, including text classification. However, most classification datasets assume a large amount labeled data, which is commonly not the case in practical settings. In particular, in this paper we compare the performance of a light-weight linear classifier based on word embeddings, i.e., fastText (Joulin et al., 2017), versus a pre-trained language model, i.e., BERT (Devlin et al., 2019), across a wide range of datasets and classification tasks. Results show that, while BERT outperforms all baselines in standard datasets with large training sets, in settings with small training datasets a simple method like fastText coupled with corpus-trained embeddings performs equally well or better than BERT.","Aleksandra Edwards, Jose Camacho-Collados, Hélène De Ribaupierre and Alun Preece",http://arxiv.org/abs/2001.10340v1
A Representation Learning Approach to Animal Biodiversity Conservation ,"Generating knowledge from natural language data has aided in solving many artificial intelligence problems. Vector representations of words have been the driving force behind majority of natural language processing tasks. This paper develops a novel approach for predicting the conservation status of animal species using custom generated scientific name embeddings. We use two different vector embeddings generated using representation learning on Wikipedia text and animal taxonomy data. We generate name embeddings for all species in the animal kingdom using unsupervised learning and build a model on the IUCN Red List dataset to classify species into endangered or least-concern. To our knowledge, this is the first work that makes use of learnt features instead of handcrafted features for this task and we achieve competitive results. Based on the high confidence results of our model, we also predict the conservation status of data deficient species whose conservation status is still unknown and thus steering more focus towards them for protection. These embeddings have also been made publicly available here. We believe this will greatly help in solving various downstream tasks and further advance research in the cross-domain involving Natural Language Processing and Conservation Biology.","Meet Mukadam, Mandhara Jayaram and Yongfeng Zhang",http://arxiv.org/abs/1910.09716v1
A Retrofitting Model for Incorporating Semantic Relations into Word Embeddings ,"We present a novel retrofitting model that can leverage relational knowledge available in a knowledge resource to improve word embeddings. The knowledge is captured in terms of relation inequality constraints that compare similarity of related and unrelated entities in the context of an anchor entity. These constraints are used as training data to learn a non-linear transformation function that maps original word vectors to a vector space respecting these constraints. The transformation function is learned in a similarity metric learning setting using Triplet network architecture. We applied our model to synonymy, antonymy and hypernymy relations in WordNet and observed large gains in performance over original distributional models as well as other retrofitting approaches on word similarity task and significant overall improvement on lexical entailment detection task.","Sapan Shah, Sreedhar Reddy and Pushpak Bhattacharyya",http://arxiv.org/abs/1912.06889v2
A Review of dataset and labeling methods for causality extraction ,"Causality represents the most important kind of correlation between events. Extracting causali-ty from text has become a promising hot topic in NLP. However, there is no mature research systems and datasets for public evaluation. Moreover, there is a lack of unified causal sequence label methods, which constitute the key factors that hinder the progress of causality extraction research. We survey the limitations and shortcomings of existing causality research field com-prehensively from the aspects of basic concepts, extraction methods, experimental data, and la-bel methods, so as to provide reference for future research on causality extraction. We summa-rize the existing causality datasets, explore their practicability and extensibility from multiple perspectives and create a new causal dataset ESC. Aiming at the problem of causal sequence labeling, we analyse the existing methods with a summarization of its regulation and propose a new causal label method of core word. Multiple candidate causal label sequences are put for-ward according to label controversy to explore the optimal label method through experiments, and suggestions are provided for selecting label method.","Jinghang Xu, Wanli Zuo, Shining Liang and Xianglin Zuo",http://arxiv.org/abs/2002.02770v1
A Semantically Consistent and Syntactically Variational Encoder-Decoder Framework for Paraphrase Generation ,"Paraphrase generation aims to generate semantically consistent sentences with different syntactic realizations. Most of the recent studies rely on the typical encoder-decoder framework where the generation process is determinative. However, in practice, the ability to generate multiple syntactically different paraphrases is important. Recent work proposed to cooperate variational inference on a target-related latent variable to introduce the diversity. But the latent variable may be contaminated by the semantic information of other unrelated sentences, and in turn, change the conveyed meaning of generated paraphrases. In this paper, we propose a semantically consistent and syntactically variational encoder-decoder framework, which uses adversarial learning to ensure the syntactic latent variable be semantic-free. Moreover, we adopt another discriminator to improve the word-level and sentence-level semantic consistency. So the proposed framework can generate multiple semantically consistent and syntactically different paraphrases. The experiments show that our model outperforms the baseline models on the metrics based on both n-gram matching and semantic similarity, and our model can generate multiple different paraphrases by assembling different syntactic variables.","Wenqing Chen, Jidong Tian, Liqiang Xiao, Hao He and Yaohui Jin",http://arxiv.org/abs/2010.05856v1
A Sentence Cloze Dataset for Chinese Machine Reading Comprehension ,"Owing to the continuous efforts by the Chinese NLP community, more and more Chinese machine reading comprehension datasets become available. To add diversity in this area, in this paper, we propose a new task called Sentence Cloze-style Machine Reading Comprehension (SC-MRC). The proposed task aims to fill the right candidate sentence into the passage that has several blanks. Moreover, to add more difficulties, we also made fake candidates that are similar to the correct ones, which requires the machine to judge their correctness in the context. The proposed dataset contains over 100K blanks (questions) within over 10K passages, which was originated from Chinese narrative stories. To evaluate the dataset, we implement several baseline systems based on the pre-trained models, and the results show that the state-of-the-art model still underperforms human performance by a large margin. We release the dataset and baseline system to further facilitate our community.","Yiming Cui, Ting Liu, Ziqing Yang, Zhipeng Chen, Wentao Ma, Wanxiang Che, Shijin Wang and Guoping Hu",http://arxiv.org/abs/2004.03116v2
A Simple and Effective Approach to Robust Unsupervised Bilingual Dictionary Induction ,"Unsupervised Bilingual Dictionary Induction methods based on the initialization and the self-learning have achieved great success in similar language pairs, e.g., English-Spanish. But they still fail and have an accuracy of 0% in many distant language pairs, e.g., English-Japanese. In this work, we show that this failure results from the gap between the actual initialization performance and the minimum initialization performance for the self-learning to succeed. We propose Iterative Dimension Reduction to bridge this gap. Our experiments show that this simple method does not hamper the performance of similar language pairs and achieves an accuracy of 13.64~55.53% between English and four distant languages, i.e., Chinese, Japanese, Vietnamese and Thai.","Yanyang Li, Yingfeng Luo, Ye Lin, Quan Du, Huizhen Wang, Tong Xiao and Jingbo Zhu",http://arxiv.org/abs/2011.14874v1
